policy_id,simple_question,risk_category,source,created_at,similarity
EU_AI_Act_Art_1_1,What does EU_AI_Act_Art_1_1 say about The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973333,0.664
EU_AI_Act_Art_1_1,Do we need to comply with EU_AI_Act_Art_1_1 when handling The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973391,0.609
EU_AI_Act_Art_1_1,Is The purpose of this Regulation is to improve allowed under the EU_AI_Act_Art_1_1?,Low Risk,template,2025-11-11T12:51:02.973409,0.646
EU_AI_Act_Art_1_1,Are there transparency requirements for The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973421,0.456
EU_AI_Act_Art_1_1,What are the obligations regarding The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973433,0.539
EU_AI_Act_Art_1_1,Can we process The purpose of this Regulation is to improve data under this law?,Low Risk,template,2025-11-11T12:51:02.973444,0.504
EU_AI_Act_Art_1_1,Who is responsible for ensuring The purpose of this Regulation is to improve compliance?,Low Risk,template,2025-11-11T12:51:02.973456,0.502
EU_AI_Act_Art_1_1,Does this law prohibit The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973467,0.455
EU_AI_Act_Art_1_1,What penalties apply if The purpose of this Regulation is to improve is violated?,Low Risk,template,2025-11-11T12:51:02.973479,0.394
EU_AI_Act_Art_1_1,How can we meet EU_AI_Act_Art_1_1 requirements on The purpose of this Regulation is to improve?,Low Risk,template,2025-11-11T12:51:02.973491,0.634
EU_AI_Act_Art_1_2a,What does EU_AI_Act_Art_1_2a say about harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283861,0.685
EU_AI_Act_Art_1_2a,Do we need to comply with EU_AI_Act_Art_1_2a when handling harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283884,0.637
EU_AI_Act_Art_1_2a,Is harmonised rules for the placing on the market allowed under the EU_AI_Act_Art_1_2a?,Low Risk,template,2025-11-11T12:51:03.283895,0.626
EU_AI_Act_Art_1_2a,Are there transparency requirements for harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283906,0.508
EU_AI_Act_Art_1_2a,What are the obligations regarding harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283915,0.555
EU_AI_Act_Art_1_2a,Can we process harmonised rules for the placing on the market data under this law?,Low Risk,template,2025-11-11T12:51:03.283925,0.519
EU_AI_Act_Art_1_2a,Who is responsible for ensuring harmonised rules for the placing on the market compliance?,Low Risk,template,2025-11-11T12:51:03.283936,0.484
EU_AI_Act_Art_1_2a,Does this law prohibit harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283945,0.453
EU_AI_Act_Art_1_2a,What penalties apply if harmonised rules for the placing on the market is violated?,Low Risk,template,2025-11-11T12:51:03.283955,0.399
EU_AI_Act_Art_1_2a,How can we meet EU_AI_Act_Art_1_2a requirements on harmonised rules for the placing on the market?,Low Risk,template,2025-11-11T12:51:03.283965,0.662
EU_AI_Act_Art_1_2b,What does EU_AI_Act_Art_1_2b say about prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573098,0.769
EU_AI_Act_Art_1_2b,Do we need to comply with EU_AI_Act_Art_1_2b when handling prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573125,0.766
EU_AI_Act_Art_1_2b,Is prohibitions of certain AI practices allowed under the EU_AI_Act_Art_1_2b?,Low Risk,template,2025-11-11T12:51:03.573139,0.838
EU_AI_Act_Art_1_2b,Are there transparency requirements for prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573153,0.846
EU_AI_Act_Art_1_2b,What are the obligations regarding prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573168,0.923
EU_AI_Act_Art_1_2b,Can we process prohibitions of certain AI practices data under this law?,Low Risk,template,2025-11-11T12:51:03.573183,0.803
EU_AI_Act_Art_1_2b,Who is responsible for ensuring prohibitions of certain AI practices compliance?,Low Risk,template,2025-11-11T12:51:03.573198,0.813
EU_AI_Act_Art_1_2b,Does this law prohibit prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573210,0.882
EU_AI_Act_Art_1_2b,What penalties apply if prohibitions of certain AI practices is violated?,Low Risk,template,2025-11-11T12:51:03.573223,0.843
EU_AI_Act_Art_1_2b,How can we meet EU_AI_Act_Art_1_2b requirements on prohibitions of certain AI practices?,Low Risk,template,2025-11-11T12:51:03.573238,0.777
EU_AI_Act_Art_1_2c,What does EU_AI_Act_Art_1_2c say about specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854208,0.719
EU_AI_Act_Art_1_2c,Do we need to comply with EU_AI_Act_Art_1_2c when handling specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854238,0.676
EU_AI_Act_Art_1_2c,Is specific requirements for high risk AI systems and allowed under the EU_AI_Act_Art_1_2c?,Low Risk,template,2025-11-11T12:51:03.854255,0.74
EU_AI_Act_Art_1_2c,Are there transparency requirements for specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854271,0.712
EU_AI_Act_Art_1_2c,What are the obligations regarding specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854285,0.879
EU_AI_Act_Art_1_2c,Can we process specific requirements for high risk AI systems and data under this law?,Low Risk,template,2025-11-11T12:51:03.854301,0.778
EU_AI_Act_Art_1_2c,Who is responsible for ensuring specific requirements for high risk AI systems and compliance?,Low Risk,template,2025-11-11T12:51:03.854319,0.782
EU_AI_Act_Art_1_2c,Does this law prohibit specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854333,0.746
EU_AI_Act_Art_1_2c,What penalties apply if specific requirements for high risk AI systems and is violated?,Low Risk,template,2025-11-11T12:51:03.854346,0.743
EU_AI_Act_Art_1_2c,How can we meet EU_AI_Act_Art_1_2c requirements on specific requirements for high risk AI systems and?,Low Risk,template,2025-11-11T12:51:03.854362,0.711
EU_AI_Act_Art_1_2d,What does EU_AI_Act_Art_1_2d say about harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139075,0.83
EU_AI_Act_Art_1_2d,Do we need to comply with EU_AI_Act_Art_1_2d when handling harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139096,0.797
EU_AI_Act_Art_1_2d,Is harmonised transparency rules for certain AI systems allowed under the EU_AI_Act_Art_1_2d?,Low Risk,template,2025-11-11T12:51:04.139107,0.837
EU_AI_Act_Art_1_2d,Are there transparency requirements for harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139117,0.925
EU_AI_Act_Art_1_2d,What are the obligations regarding harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139126,0.907
EU_AI_Act_Art_1_2d,Can we process harmonised transparency rules for certain AI systems data under this law?,Low Risk,template,2025-11-11T12:51:04.139136,0.888
EU_AI_Act_Art_1_2d,Who is responsible for ensuring harmonised transparency rules for certain AI systems compliance?,Low Risk,template,2025-11-11T12:51:04.139146,0.789
EU_AI_Act_Art_1_2d,Does this law prohibit harmonised transparency rules for certain AI systems?,Low Risk,template,2025-11-11T12:51:04.139155,0.887
